long;lat;id;nombre;anio_de_in;tipo;cantidad;ubicacion;clasificac;calle;altura;calle2;barrio;comuna;codigo_postal;codigo_postal_argentino
-58,45693756;-34,62665578;1;LINEA A CARABOBO;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;0;CARABOBO AV.;Flores;Comuna 7;;
-58,44875669;-34,62369886;2;LINEA A PUAN;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;0;PUAN;Caballito;Comuna 6;;
-58,44137991;-34,62061572;3;LINEA A PRIMERA JUNTA;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;0;ROJAS;Caballito;Comuna 6;;
-58,43634685;-34,61814405;4;LINEA A ACOYTE;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;0;ACOYTE AV.;Caballito;Comuna 6;;
-58,42989608;-34,61527931;5;LINEA A RIO DE JANEIRO;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;0;RIO DE JANEIRO;Caballito;Comuna 6;;
-58,42085882;-34,61154618;6;LINEA A CASTRO BARROS;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;3900;;Almagro;Comuna 5;1204;C1204AAQ
-58,41454852;-34,610831;7;LINEA A LORIA;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;3400;;Balvanera;Comuna 3;1203;C1203AAS
-58,4063936;-34,61003498;8;LINEA A PLAZA MISERERE;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;0;JUJUY AV.;Balvanera;Comuna 3;;
-58,40035115;-34,60990016;9;LINEA A ALBERTI;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;2400;;Balvanera;Comuna 3;1034;C1034ACP
-58,39747324;-34,60968126;10;LINEA A PASCO;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;2200;;Balvanera;Comuna 3;1034;C1034ACN
-58,39208883;-34,60930545;11;LINEA A CONGRESO;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;0;ENTRE RIOS AV.;San Nicolas;Comuna 1;;
-58,38613054;-34,6094851;12;LINEA A SAENZ PEÑA;2011;4U;1;VIA PUBLICA;SUBTE;DE MAYO AV.;1400;;Monserrat;Comuna 1;1085;C1085ABQ
-58,38330751;-34,6092915;13;LINEA A LIMA;2011;4U;1;VIA PUBLICA;SUBTE;DE MAYO AV.;1200;;Monserrat;Comuna 1;1085;C1085ABO
-58,3762417;-34,60880269;14;LINEA A PIEDRAS;2011;4U;1;VIA PUBLICA;SUBTE;DE MAYO AV.;700;;Monserrat;Comuna 1;1084;C1084AAO
-58,37419495;-34,60866555;15;LINEA A PERU;2011;4U;1;VIA PUBLICA;SUBTE;DE MAYO AV.;550;;Monserrat;Comuna 1;1084;C1084AAN
-58,47406999;-34,58136885;16;LINEA B DE LOS INCAS-PARQUE CHAS;2011;4U;1;VIA PUBLICA;SUBTE;TRIUNVIRATO AV.;0;DE LOS INCAS AV.;Parque Chas;Comuna 15;;
-58,46639208;-34,58396918;17;LINEA B TRONADOR-VILLA ORTUZAR;2011;4U;1;VIA PUBLICA;SUBTE;TRIUNVIRATO AV.;0;TRONADOR;Villa Ortuzar;Comuna 15;;
-58,45534229;-34,58708574;18;LINEA B F. LACROZE;2011;4U;1;VIA PUBLICA;SUBTE;CORRIENTES AV.;0;LACROZE, FEDERICO AV.;Chacarita;Comuna 15;;
-58,4474154;-34,59201969;19;LINEA B DORREGO;2011;4U;1;VIA PUBLICA;SUBTE;CORRIENTES AV.;6100;;Villa Crespo;Comuna 15;1414;C1414AKN
-58,43942603;-34,59942884;20;LINEA B MALABIA;2011;4U;1;VIA PUBLICA;SUBTE;CORRIENTES AV.;5200;;Villa Crespo;Comuna 15;1414;C1414AJR
-58,43005883;-34,60237673;21;LINEA B ANGEL GALLARDO;2011;4U;1;VIA PUBLICA;SUBTE;CORRIENTES AV.;4600;;Almagro;Comuna 5;1195;C1195AAR
-58,41023467;-34,60414186;22;LINEA B CARLOS GARDEL;2011;4U;1;VIA PUBLICA;SUBTE;CORRIENTES AV.;3200;;Balvanera;Comuna 3;1193;C1193AAQ
-58,40535828;-34,6046809;23;LINEA B PUEYRREDON;2011;4U;1;VIA PUBLICA;SUBTE;CORRIENTES AV.;2800;;Balvanera;Comuna 3;1046;C1046AAS
-58,39809688;-34,6046834;24;LINEA B PASTEUR;2011;4U;1;VIA PUBLICA;SUBTE;CORRIENTES AV.;2200;;Balvanera;Comuna 3;1045;C1045AAQ
-58,39069254;-34,60443257;25;LINEA B CALLAO;2011;4U;1;VIA PUBLICA;SUBTE;CORRIENTES AV.;1700;;San Nicolas;Comuna 1;1042;C1042AAP
-58,38640184;-34,60409447;26;LINEA B URUGUAY;2011;4U;1;VIA PUBLICA;SUBTE;CORRIENTES AV.;1400;;San Nicolas;Comuna 1;1043;C1043ABN
-58,37937345;-34,60367653;27;LINEA B CARLOS PELLEGRINI;2011;4U;1;VIA PUBLICA;SUBTE;CORRIENTES AV.;900;;San Nicolas;Comuna 1;1043;C1043AAV
