id_recorrido,duracion_recorrido,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,long_estacion_origen,lat_estacion_origen,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,long_estacion_destino,lat_estacion_destino,id_usuario,modelo_bicicleta
7737009BAEcobici,1658,2020-05-18 13:06:42 UTC,33BAEcobici,033 - Facultad de Medicina,Pres. José Evaristo Uriburu 987,-58.3989807,-34.5970909,2020-05-18 13:34:20 UTC,175BAEcobici,147 - Constitución,Avenida Juan de Garay 1050,-58.380707,-34.626851,211329BAEcobici,ICONIC
7736832BAEcobici,833,2020-05-18 11:33:20 UTC,353BAEcobici,237 - Madero Office,"367 Sanchez De Thompson, Mariquita",-58.364695,-34.599036,2020-05-18 11:47:13 UTC,444BAEcobici,061-Ministerio de Economia,"Balcarce e Yrigoyen, Hipolito Av.",-58.370716,-34.608936,375284BAEcobici,ICONIC
7736640BAEcobici,355,2020-05-18 09:33:14 UTC,32BAEcobici,032 - Catedral,67 San Martin,-58.3735984,-34.6072074,2020-05-18 09:39:09 UTC,55BAEcobici,055 - Bouchard,Viamonte 101,-58.36966404,-34.5994122,375284BAEcobici,ICONIC
7736725BAEcobici,928,2020-05-18 10:26:20 UTC,215BAEcobici,113 - Guatemala,Guatemala 4773,-58.424996,-34.585878,2020-05-18 10:41:48 UTC,213BAEcobici,136 - Acevedo,Acevedo y Padilla,-58.442685,-34.599659,696BAEcobici,ICONIC
7738166BAEcobici,1206,2020-05-18 21:57:45 UTC,84BAEcobici,084 - Lavalle,Ayacucho 595,-58.3955144,-34.6023203,2020-05-18 22:17:51 UTC,29BAEcobici,029 - Parque Centenario,Av. Patricias Argentinas & Estivao,-58.4335573,-34.6079414,647418BAEcobici,ICONIC
7737832BAEcobici,526,2020-05-18 18:10:23 UTC,193BAEcobici,193 - ARENALES Y AGUERO,Arenales y Aguero,-58.4061652,-34.5908626,2020-05-18 18:19:09 UTC,25BAEcobici,025 - Plaza Guemes,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",-58.4161178,-34.5894269,5368BAEcobici,ICONIC
7737337BAEcobici,1574,2020-05-18 15:11:40 UTC,172BAEcobici,172 - BRASIL,BRASIL&DEFENSA,-58.371082,-34.625426,2020-05-18 15:37:54 UTC,135BAEcobici,135 - MARCELO T. DE ALVEAR,902 Esmeralda,-58.3787856,-34.5972818,46008BAEcobici,ICONIC
7737264BAEcobici,1728,2020-05-18 14:47:08 UTC,3BAEcobici,003 - ADUANA,Moreno & Av Paseo Colon,-58.3682604,-34.611032,2020-05-18 15:15:56 UTC,120BAEcobici,120 - HOSPITAL RAMOS MEJIA,3084 Agrelo,-58.4092876,-34.617509,37062BAEcobici,ICONIC
7738121BAEcobici,835,2020-05-18 21:11:58 UTC,75BAEcobici,075 - Plaza Primero de Mayo,238 Pichincha,-58.3989871,-34.6122976,2020-05-18 21:25:53 UTC,144BAEcobici,144 - PUEYRREDÓN,684 Boulogne Sur Mer & Tucuman,-58.4060944,-34.6018744,328122BAEcobici,ICONIC
7737959BAEcobici,230,2020-05-18 19:07:40 UTC,94BAEcobici,094 - GÚZMAN,Av Guzman 129 & Leiva,-58.449652,-34.591511,2020-05-18 19:11:30 UTC,104BAEcobici,104 - Federico Lacroze,Av. Guzman 1100 & Av. Corrientes,-58.455212,-34.587617,665487BAEcobici,ICONIC
7736890BAEcobici,1207,2020-05-18 12:04:20 UTC,197BAEcobici,197 - PLAZA CIUDAD DE UDINE,Mercedes 1480,-58.493044,-34.620998,2020-05-18 12:24:27 UTC,93BAEcobici,093 - CARLOS CALVO,Sarandi 1010,-58.3944635,-34.620798,665496BAEcobici,ICONIC
7737598BAEcobici,1187,2020-05-18 16:45:50 UTC,247BAEcobici,282 - Tronador,Triunvirato Av. & Tronador,-58.466494,-34.5838957,2020-05-18 17:05:37 UTC,247BAEcobici,282 - Tronador,Triunvirato Av. & Tronador,-58.466494,-34.5838957,171877BAEcobici,ICONIC
7737901BAEcobici,254,2020-05-18 18:32:57 UTC,275BAEcobici,256 - PLAZA NORUEGA,Amenabar y Mendoza,-58.459148,-34.562396,2020-05-18 18:37:11 UTC,258BAEcobici,336 - La Pampa,La Pampa 2512 & Ciudad de la Paz,-58.455334,-34.565521,191579BAEcobici,ICONIC
7736466BAEcobici,997,2020-05-18 08:17:36 UTC,258BAEcobici,336 - La Pampa,La Pampa 2512 & Ciudad de la Paz,-58.455334,-34.565521,2020-05-18 08:34:13 UTC,158BAEcobici,158 - VILLARROEL,1321 Villarroel & Humboldt CABA,-58.4450697,-34.592735,109061BAEcobici,ICONIC
7736845BAEcobici,3713,2020-05-18 11:42:39 UTC,436BAEcobici,253 - Plaza Colegiales,Matienzo y freire,-58.4450299,-34.5782972,2020-05-18 12:44:32 UTC,20BAEcobici,020 - Distrito Audiovisual,Zapiola & Dorrego,-58.4417756,-34.5798619,131187BAEcobici,ICONIC
7736596BAEcobici,227,2020-05-18 09:14:47 UTC,441BAEcobici,016 - Legislatura,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",-58.3748,-34.609801,2020-05-18 09:18:34 UTC,3BAEcobici,003 - ADUANA,Moreno & Av Paseo Colon,-58.3682604,-34.611032,16499BAEcobici,ICONIC
